
0,1,Toy Story (1995) ,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,JohnLasseter,TomHanks,TimAllen,DonRickles
1,2,Jumanji (1995) ,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",JoeJohnston,RobinWilliams,KirstenDunst,BonnieHunt
2,3,Grumpier Old Men (1995) ,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",HowardDeutch,WalterMatthau,JackLemmon,Ann-Margret
3,4,Waiting to Exhale (1995) ,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",ForestWhitaker,WhitneyHouston,AngelaBassett,LorettaDevine
4,5,Father of the Bride Part II (1995) ,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",CharlesShyer,SteveMartin,DianeKeaton,MartinShort
5,6,Heat (1995) ,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,MichaelMann,AlPacino,RobertDeNiro,ValKilmer
6,7,Sabrina (1995) ,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",SydneyPollack,HarrisonFord,JuliaOrmond,GregKinnear
7,8,Tom and Huck (1995) ,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,PeterHewitt,JonathanTaylorThomas,BradRenfro,CharlesRocket
8,9,Sudden Death (1995) ,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,PeterHyams,Jean-ClaudeVanDamme,PowersBoothe,RaymondJ.Barry
9,10,GoldenEye (1995) ,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",MartinCampbell,PierceBrosnan,SeanBean,IzabellaScorupco
10,11,The American President (1995) ,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",RobReiner,MichaelDouglas,AnnetteBening,MartinSheen
11,12,Dracula: Dead and Loving It (1995) ,Mel Brooks ' parody of the classic vampire story and its famous film adaptations.,MelBrooks,LeslieNielsen,MelBrooks,PeterMacNicol
12,13,Balto (1995) ,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",SimonWells,KevinBacon,BobHoskins,BridgetFonda
13,14,Nixon (1995) ,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",OliverStone,AnthonyHopkins,JoanAllen,PowersBoothe
14,15,Cutthroat Island (1995) ,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,RennyHarlin,GeenaDavis,MatthewModine,FrankLangella
15,16,Casino (1995) ,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",MartinScorsese,RobertDeNiro,SharonStone,JoePesci
16,17,Sense and Sensibility (1995) ,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",AngLee,EmmaThompson,KateWinslet,JamesFleet
17,18,Four Rooms (1995) ,Four interlocking tales that take place in a fading hotel on New Year's Eve.,,TimRoth,AntonioBanderas,SammiDavis
18,19,Ace Ventura: When Nature Calls (1995) ,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",SteveOedekerk,JimCarrey,IanMcNeice,SimonCallow
19,20,Money Train (1995) ,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",JosephRuben,WesleySnipes,WoodyHarrelson,JenniferLopez
20,21,Get Shorty (1995) ,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",BarrySonnenfeld,GeneHackman,ReneRusso,DannyDeVito
21,22,Copycat (1995) ,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,JonAmiel,SigourneyWeaver,HollyHunter,DermotMulroney
22,23,Assassins (1995) ,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,RichardDonner,SylvesterStallone,AntonioBanderas,JulianneMoore
23,24,Powder (1995) ,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,VictorSalva,MarySteenburgen,SeanPatrickFlanery,LanceHenriksen
24,25,Leaving Las Vegas (1995) ,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",MikeFiggis,NicolasCage,ElisabethShue,JulianSands
25,26,Othello (1995) ,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",OliverParker,LaurenceFishburne,KennethBranagh,IrèneJacob
26,27,Now and Then (1995) ,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,LesliLinkaGlatter,ChristinaRicci,DemiMoore,RosieO'Donnell
27,28,Persuasion             ,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken ...
                    See full summary »",RogerMichell,AmandaRoot,CiaránHinds,SusanFleetwood
28,29,The City of Lost Children (1995) ,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",,RonPerlman,DanielEmilfork,JudithVittet
29,30,"Yao a yao, yao dao wai po qiao (1995) ",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,YimouZhang,LiGong,BaotianLi,XiaoxiaoWang
30,31,Dangerous Minds (1995) ,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,JohnN.Smith,MichellePfeiffer,GeorgeDzundza,CourtneyB.Vance
31,32,12 Monkeys (1995) ,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",TerryGilliam,BruceWillis,MadeleineStowe,BradPitt
32,34,Babe (1995) ,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",ChrisNoonan,JamesCromwell,MagdaSzubanski,ChristineCavanaugh
33,36,Dead Man Walking (1995) ,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",TimRobbins,SusanSarandon,SeanPenn,RobertProsky
34,38,It Takes Two (1995) ,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",AndyTennant,KirstieAlley,SteveGuttenberg,Mary-KateOlsen
35,39,Clueless (1995) ,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",AmyHeckerling,AliciaSilverstone,StaceyDash,BrittanyMurphy
36,40,"Cry, the Beloved Country (1995) ","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",DarrellRoodt,RichardHarris,JamesEarlJones,VusiKunene
37,41,Richard III (1995) ,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,RichardLoncraine,IanMcKellen,AnnetteBening,ChristopherBowen
38,42,Dead Presidents (1995) ,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",,LarenzTate,KeithDavid,ChrisTucker
39,43,Restoration (1995) ,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",MichaelHoffman,RobertDowneyJr.,SamNeill,DavidThewlis
40,44,Mortal Kombat (1995) ,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,PaulW.S.Anderson,ChristopherLambert,RobinShou,LindenAshby
41,45,To Die For (1995) ,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,GusVanSant,NicoleKidman,MattDillon,JoaquinPhoenix
42,46,How to Make an American Quilt (1995) ,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,JocelynMoorhouse,WinonaRyder,EllenBurstyn,AnneBancroft
43,47,Se7en (1995) ,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",DavidFincher,MorganFreeman,BradPitt,KevinSpacey
44,48,Pocahontas (1995) ,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,,MelGibson,LindaHunt,ChristianBale
45,49,When Night Is Falling (1995) ,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",PatriciaRozema,PascaleBussières,RachaelCrawford,HenryCzerny
46,50,The Usual Suspects (1995) ,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",BryanSinger,KevinSpacey,GabrielByrne,ChazzPalminteri
47,52,Mighty Aphrodite (1995) ,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",WoodyAllen,WoodyAllen,MiraSorvino,PamelaBlair
48,53,Lamerica (1994) ,"Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...
                    See full summary »",GianniAmelio,EnricoLoVerso,MichelePlacido,PiroMilkani
49,54,The Big Green (1995) ,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.",HollyGoldbergSloan,SteveGuttenberg,Oliviad'Abo,JayO.Sanders
50,55,Georgia (1995) ,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,UluGrosbard,JenniferJasonLeigh,MareWinningham,TedLevine
51,57,Home for the Holidays (1995) ,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",JodieFoster,HollyHunter,AnneBancroft,RobertDowneyJr.
52,58,Il Postino (1994) ,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",,MassimoTroisi,PhilippeNoiret,MariaGraziaCucinotta
53,60,The Indian in the Cupboard (1995) ,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick.",FrankOz,HalScardino,Litefoot,LindsayCrouse
54,61,Eye for an Eye (1996) ,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",JohnSchlesinger,SallyField,KieferSutherland,EdHarris
55,62,Mr. Holland's Opus (1995) ,A frustrated composer finds fulfillment as a high school music teacher.,StephenHerek,RichardDreyfuss,GlenneHeadly,JayThomas
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996) ,"A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",ParisBarclay,ShawnWayans,MarlonWayans,KeenenIvoryWayans
57,64,Two If by Sea (1996) ,A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.,BillBennett,SandraBullock,DenisLeary,StephenDillane
58,65,Bio-Dome (1996) ,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",JasonBloom,PaulyShore,StephenBaldwin,WilliamAtherton
59,66,Lawnmower Man 2: Beyond Cyberspace (1996) ,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...
                    See full summary »",FarhadMann,PatrickBergin,MattFrewer,AustinO'Brien
60,68,French Twist (1995) ,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",JosianeBalasko,VictoriaAbril,JosianeBalasko,AlainChabat
61,69,Friday (1995) ,"Two homies, Smokey and Craig Jones, smoke a dope dealer's weed and try to figure a way to get the two hundred dollars they owe to the dealer by 10 p.m. that same night.",F.GaryGray,IceCube,ChrisTucker,NiaLong
62,70,From Dusk Till Dawn (1996) ,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",RobertRodriguez,HarveyKeitel,GeorgeClooney,JulietteLewis
